125
40
70,30
36,100
99,107
29,5
123,100
32,93
18,31
16,81
75,89
86,69
104,31
80,49
58,62
6,120
53,13
109,54
108,39
8,42
71,83
99,124
57,43
10,74
100,7
45,24
61,33
125,93
8,35
36,27
115,34
40,1
91,123
59,64
76,101
65,105
88,68
74,76
96,73
106,99
89,31
46,36
40
41,63,116
104,108,130
42,19,196
107,11,78
27,106,17
37,79,114
39,101,14
75,120,41
17,85,183
87,9,124
17,31,181
11,22,129
58,98,26
113,79,199
121,124,43
55,84,18
42,102,120
113,30,149
79,97,9
69,83,166
94,24,16
62,54,132
35,2,165
92,83,63
108,119,157
19,35,65
96,30,85
1,120,53
38,27,95
111,85,154
32,56,3
78,89,11
89,67,84
73,74,0
60,100,90
115,48,102
110,28,114
98,75,104
64,43,143
2,112,97
0.6
-1
0.8
